alunoid,campus,curso,anoingresso,periodoingresso,dataconclusao,forma_acesso_seletivo,rendabruta,ira,modalidade,genero,raca,idade,ficou_tempo_sem_estudar,razao_ausencia_educacional,quantidade_computadores,exclusivo_rede_publica,companhia_domiciliar,mae_nivel_escolaridade,pai_nivel_escolaridade,quantidade_notebooks,estado_civil,qtd_filhos,tipo_area_residencial,trabalha,situacao,pontuacao_seletivo,percentual_frequencia,reprovacoes,idioma
155035,MTC,Licenciatura em Física,2022,1,,COT,1397.0,0.0,Licenciatura,M,Parda,18,False,,0.0,False,Mãe,Ensino médio completo,Não Estudou,0.0,Solteiro(a),0,Rural,Nunca trabalhou,Matriculado,,96,0,True
60442,SJP,Sjp - Bacharelado em Administração - Superior,2015,1,2019-04-25,,1000.0,8.96,Bacharelado,M,Branca,28,False,,0.0,False,Parentes,Ensino fundamental completo,Ensino fundamental incompleto,1.0,Solteiro(a),0,Urbano,Serviço público,Formado,,100,0,False
121648,PED,Licenciatura em Física,2020,1,,COT,33.95,8.19,Licenciatura,M,Parda,19,False,,0.0,False,Avó,Não Estudou,Não Estudou,0.0,Solteiro(a),0,Rural,Não está trabalhando,Cancelado,,98,0,False
154667,ACA,Licenciatura em Química,2022,1,,COT,0.0,0.0,Licenciatura,M,Parda,22,False,,0.0,False,Pais,Ensino fundamental completo,Ensino fundamental completo,1.0,Solteiro(a),0,Urbano,Autônomo,Matriculado,,99,0,False
139793,SIN,Bacharelado em Engenharia da Computação,2021,1,,COT,2632.97,8.46,Bacharelado,M,Parda,19,False,,0.0,False,Pais,Ensino superior completo,Ensino superior completo,1.0,Solteiro(a),0,Urbano,Nunca trabalhou,Matriculado,,98,0,False
62691,SIN,Santa Inês - Licenciatura em Física,2015,1,,CON,0.0,5.2,Licenciatura,M,Branca,30,False,,0.0,False,Pais,Ensino médio completo,Ensino médio completo,2.0,Solteiro(a),0,Urbano,Trabalha com vínculo empregatício,Matriculado,,94,0,True
125504,SJR,Graduação Tecnológica em Processos Gerenciais,2020,1,,COT,1623.95,3.23,Tecnologia,M,Parda,32,False,,0.0,False,Sozinho,Ensino médio completo,Não sei informar,0.0,Solteiro(a),0,Rural,Trabalha com vínculo empregatício,Trancado Voluntariamente,,80,5,True
97101,COD,Licenciatura em Ciências Biológicas,2018,1,,CON,998.0,8.63,Licenciatura,F,Parda,23,False,,0.0,False,Mãe,Ensino médio completo,Ensino fundamental incompleto,1.0,Solteiro(a),0,Urbano,Empresa privada,Matriculado,,96,1,False
125996,SRM,SRM - Graduação em Zootecnia,2020,1,,COT,400.0,8.99,Bacharelado,M,Preta,19,False,,1.0,False,Amigo(s),Ensino médio completo,Ensino fundamental incompleto,0.0,Solteiro(a),0,Urbano,Nunca trabalhou,Matriculado,,98,0,False
77184,BAC,Licenciatura Plena em Química (sisu),2017,1,2021-12-06,COT,969.68,8.47,Licenciatura,M,Parda,32,False,,0.0,False,Pais,Ensino fundamental incompleto,Ensino médio completo,0.0,Casado(a),1,Urbano,Trabalha com vínculo empregatício,Formado,,100,0,False
